customer_id,customer_name,email,phone,area,pincode,registration_date,customer_segment
16379942,Harshil Kuruvilla,pathakanirudh@example.org,9.13807E+11,Orai,332997,2024-04-10,Inactive
88965399,Darsh Sura,yachanabalakrishnan@example.net,9.15675E+11,Guntur,563500,2024-05-28,Regular
666589,Kevin Bassi,jainchandani@example.net,9.12287E+11,Morbi,852969,2023-07-31,Regular
82594354,Harinakshi Sule,ocontractor@example.net,9.19987E+11,Avadi,345071,2024-01-04,Regular
15484407,Saksham Kaur,nathmohammed@example.net,9.12436E+11,Kakinada,457519,2024-06-11,Premium
29272253,Brijesh Nadkarni,gaurangigarg@example.com,9.15987E+11,Kolhapur,373917,2024-09-19,New
45477575,Aarna Bawa,kondajagdish@example.com,9.1272E+11,Vellore,117423,2024-01-05,Inactive
15931134,Azaan Gara,jai07@example.com,9.14061E+11,Darbhanga,121150,2024-03-10,Inactive
43367112,Chasmum Ramesh,jom@example.com,9.13254E+11,Gopalpur,276624,2023-12-14,New
37556526,Anjali Varkey,triveni48@example.org,9.16294E+11,Farrukhabad,243420,2024-06-14,Inactive
45868300,Isha Sheth,revaatwal@example.net,9.15776E+11,Ratlam,406941,2023-08-24,Premium
55028958,Pavani Yadav,mallorinder@example.org,9.10013E+11,Howrah,918618,2023-05-10,New
71235336,Gabriel Sawhney,chahalsamuel@example.net,9.11822E+11,Bokaro,551761,2024-01-30,Regular
27971619,Wriddhish Anne,jbhalla@example.org,9.14196E+11,Mirzapur,466962,2023-10-11,New
23348269,Rudra Dutta,janya57@example.com,9.14825E+11,Ahmednagar,398963,2024-02-28,Inactive
66742602,Yatan Uppal,hchakraborty@example.net,9.13358E+11,Jalna,749857,2023-07-01,New
21866852,Ojas Morar,gangulymahika@example.org,9.16521E+11,Guwahati,428400,2023-11-14,Premium
10225164,Siya Parmer,watika42@example.net,9.15831E+11,Dehri,625283,2024-09-25,Inactive
59890331,Raagini Badal,nicholas03@example.com,9.1065E+11,Chennai,382306,2024-11-01,Premium
52215833,Lipika Parmer,gavinprabhakar@example.net,9.10214E+11,Sirsa,414814,2024-09-27,Regular
87718744,Max Pandit,vamakshi09@example.com,9.12813E+11,Bathinda,966966,2023-09-29,Regular
2457734,Onkar Garg,warhi85@example.com,9.14166E+11,Ahmednagar,317271,2023-05-27,Premium
